,Repo
0,freeCodeCamp/freeCodeCamp
1,EbookFoundation/free-programming-books
2,sindresorhus/awesome
3,996icu/996.ICU
4,jwasham/coding-interview-university
5,kamranahmedse/developer-roadmap
6,donnemartin/system-design-primer
7,facebook/react
8,vuejs/vue
9,vinta/awesome-python
10,tensorflow/tensorflow
11,trekhleb/javascript-algorithms
12,getify/You-Dont-Know-JS
13,TheAlgorithms/Python
14,CyC2018/CS-Notes
15,twbs/bootstrap
16,ohmyzsh/ohmyzsh
17,torvalds/linux
18,flutter/flutter
19,github/gitignore
20,microsoft/vscode
21,ossu/computer-science
22,jackfrued/Python-100-Days
23,jlevy/the-art-of-command-line
24,Snailclimb/JavaGuide
25,airbnb/javascript
26,ytdl-org/youtube-dl
27,labuladong/fucking-algorithm
28,30-seconds/30-seconds-of-code
29,golang/go
30,facebook/react-native
31,huggingface/transformers
32,vercel/next.js
33,electron/electron
34,avelino/awesome-go
35,trimstray/the-book-of-secret-knowledge
36,d3/d3
37,justjavac/free-programming-books-zh_CN
38,AUTOMATIC1111/stable-diffusion-webui
39,kubernetes/kubernetes
40,facebook/create-react-app
41,nodejs/node
42,microsoft/PowerToys
43,yangshun/tech-interview-handbook
44,mrdoob/three.js
45,microsoft/TypeScript
46,goldbergyoni/nodebestpractices
47,Genymobile/scrcpy
48,denoland/deno
49,microsoft/terminal
50,angular/angular
51,mui/material-ui
52,f/awesome-chatgpt-prompts
53,ant-design/ant-design
54,ryanmcdermott/clean-code-javascript
55,rust-lang/rust
56,puppeteer/puppeteer
57,PanJiaChen/vue-element-admin
58,iluwatar/java-design-patterns
59,storybookjs/storybook
60,nvbn/thefuck
61,papers-we-love/papers-we-love
62,gothinkster/realworld
63,tensorflow/models
64,microsoft/Web-Dev-For-Beginners
65,521xueweihan/HelloGitHub
66,laravel/laravel
67,MisterBooo/LeetCodeAnimation
68,django/django
69,mtdvio/every-programmer-should-know
70,ripienaar/free-for-dev
71,tonsky/FiraCode
72,FortAwesome/Font-Awesome
73,fatedier/frp
74,doocs/advanced-java
75,gin-gonic/gin
76,bitcoin/bitcoin
77,opencv/opencv
78,pytorch/pytorch
79,vuejs/awesome-vue
80,neovim/neovim
81,spring-projects/spring-boot
82,Hack-with-Github/Awesome-Hacking
83,gohugoio/hugo
84,tauri-apps/tauri
85,typicode/json-server
86,florinpop17/app-ideas
87,moby/moby
88,thedaviddias/Front-End-Checklist
89,GrowingGit/GitHub-Chinese-Top-Charts
90,elastic/elasticsearch
91,netdata/netdata
92,hakimel/reveal.js
93,godotengine/godot
94,pallets/flask
95,apple/swift
96,webpack/webpack
97,jaywcjlove/awesome-mac
98,home-assistant/core
99,tiangolo/fastapi
100,expressjs/express
101,chartjs/Chart.js
102,redis/redis
103,resume/resume.github.com
104,kdn251/interviews
105,reduxjs/redux
106,josephmisiti/awesome-machine-learning
107,twitter/the-algorithm
108,atom/atom
109,Developer-Y/cs-video-courses
110,nestjs/nest
111,vitejs/vite
112,adam-p/markdown-here
113,keras-team/keras
114,angular/angular.js
115,socketio/socket.io
116,xingshaocheng/architect-awesome
117,ansible/ansible
118,jquery/jquery
119,h5bp/Front-end-Developer-Interview-Questions
120,enaqx/awesome-react
121,kelseyhightower/nocode
122,leonardomso/33-js-concepts
123,lodash/lodash
124,shadowsocks/shadowsocks-windows
125,bregman-arie/devops-exercises
126,grafana/grafana
127,apache/echarts
128,MunGell/awesome-for-beginners
129,fighting41love/funNLP
130,strapi/strapi
131,Anduin2017/HowToCook
132,scikit-learn/scikit-learn
133,python/cpython
134,chrislgarry/Apollo-11
135,h5bp/html5-boilerplate
136,gatsbyjs/gatsby
137,microsoft/playwright
138,hoppscotch/hoppscotch
139,junegunn/fzf
140,syncthing/syncthing
141,apache/superset
142,ElemeFE/element
143,TheAlgorithms/Java
144,microsoft/ML-For-Beginners
145,rails/rails
146,spring-projects/spring-framework
147,3b1b/manim
148,tesseract-ocr/tesseract
149,bradtraversy/design-resources-for-developers
150,sindresorhus/awesome-nodejs
151,azl397985856/leetcode
152,sdmg15/Best-websites-a-programmer-should-visit
153,scutan90/DeepLearning-500-questions
154,necolas/normalize.css
155,Semantic-Org/Semantic-UI
156,swisskyrepo/PayloadsAllTheThings
157,Eugeny/tabby
158,obsproject/obs-studio
159,ocornut/imgui
160,prometheus/prometheus
161,ionic-team/ionic-framework
162,caddyserver/caddy
163,ageitgey/face_recognition
164,prakhar1989/awesome-courses
165,fffaraz/awesome-cpp
166,danielmiessler/SecLists
167,google/material-design-icons
168,scrapy/scrapy
169,localstack/localstack
170,Solido/awesome-flutter
171,google/guava
172,soimort/you-get
173,facebook/docusaurus
174,moment/moment
175,jgthms/bulma
176,nuxt/nuxt
177,git/git
178,ReactiveX/RxJava
179,wasabeef/awesome-android-ui
180,jekyll/jekyll
181,openai/openai-cookbook
182,juliangarnier/anime
183,NARKOZ/hacker-scripts
184,prettier/prettier
185,Alvin9999/new-pac
186,Dreamacro/clash
187,ryanoasis/nerd-fonts
188,JetBrains/kotlin
189,tldr-pages/tldr
190,minimaxir/big-list-of-naughty-strings
191,serverless/serverless
192,DefinitelyTyped/DefinitelyTyped
193,cypress-io/cypress
194,CorentinJ/Real-Time-Voice-Cloning
195,ziishaned/learn-regex
196,traefik/traefik
197,square/okhttp
198,iamkun/dayjs
199,TryGhost/Ghost
200,mastodon/mastodon
201,vsouza/awesome-ios
202,openai/whisper
203,meteor/meteor
204,mozilla/pdf.js
205,ethereum/go-ethereum
206,JuliaLang/julia
207,aymericdamien/TensorFlow-Examples
208,gogs/gogs
209,karan/Projects
210,sharkdp/bat
211,nektos/act
212,babel/babel
213,jgraph/drawio-desktop
214,FiloSottile/mkcert
215,astaxie/build-web-application-with-golang
216,tiimgreen/github-cheat-sheet
217,Yidadaa/ChatGPT-Next-Web
218,NationalSecurityAgency/ghidra
219,iperov/DeepFaceLab
220,justjavac/awesome-wechat-weapp
221,square/retrofit
222,rust-lang/rustlings
223,kamranahmedse/design-patterns-for-humans
224,youngyangyang04/leetcode-master
225,x64dbg/x64dbg
226,vercel/hyper
227,commaai/openpilot
228,yarnpkg/yarn
229,k88hudson/git-flight-rules
230,ngosang/trackerslist
231,pixijs/pixijs
232,minio/minio
233,PowerShell/PowerShell
234,bailicangdu/vue2-elm
235,ggerganov/llama.cpp
236,vuejs/core
237,facebookresearch/llama
238,agalwood/Motrix
239,nwjs/nw.js
240,Alamofire/Alamofire
241,BurntSushi/ripgrep
242,pandas-dev/pandas
243,Unitech/pm2
244,styled-components/styled-components
245,jakevdp/PythonDataScienceHandbook
246,apache/dubbo
247,huginn/huginn
248,dypsilon/frontend-dev-bookmarks
249,Dogfalo/materialize
250,grpc/grpc
251,isocpp/CppCoreGuidelines
252,discourse/discourse
253,dcloudio/uni-app
254,hashicorp/terraform
255,poteto/hiring-without-whiteboards
256,jesseduffield/lazygit
257,Leaflet/Leaflet
258,romkatv/powerlevel10k
259,google/zx
260,yangshun/front-end-interview-handbook
261,go-gitea/gitea
262,laurent22/joplin
263,GitSquared/edex-ui
264,FFmpeg/FFmpeg
265,Asabeneh/30-Days-Of-JavaScript
266,wagoodman/dive
267,faif/python-patterns
268,streamich/react-use
269,louislam/uptime-kuma
270,facebookresearch/segment-anything
271,topjohnwu/Magisk
272,akullpp/awesome-java
273,fastlane/fastlane
274,hexojs/hexo
275,impress/impress.js
276,gorhill/uBlock
277,alex/what-happens-when
278,brillout/awesome-react-components
279,Homebrew/brew
280,quilljs/quill
281,RocketChat/Rocket.Chat
282,PhilJay/MPAndroidChart
283,apache/spark
284,FreeCodeCampChina/freecodecamp.cn
285,kelseyhightower/kubernetes-the-hard-way
286,nlohmann/json
287,nolimits4web/swiper
288,apachecn/ailearning
289,dkhamsing/open-source-ios-apps
290,floodsung/Deep-Learning-Papers-Reading-Roadmap
291,videojs/video.js
292,skylot/jadx
293,php/php-src
294,evanw/esbuild
295,chubin/cheat.sh
296,Kong/kong
297,ruanyf/weekly
298,jgraph/drawio
299,microsoft/monaco-editor
300,google/styleguide
301,photonstorm/phaser
302,wg/wrk
303,getsentry/sentry
304,ant-design/ant-design-pro
305,eugenp/tutorials
306,pingcap/tidb
307,alvarotrigo/fullPage.js
308,dylanaraps/pure-bash-bible
309,nodejs/node-v0.x-archive
310,LeCoupa/awesome-cheatsheets
311,open-guides/og-aws
312,koajs/koa
313,sahat/hackathon-starter
314,airbnb/lottie-android
315,exacity/deeplearningbook-chinese
316,satwikkansal/wtfpython
317,microsoft/TaskMatrix
318,GokuMohandas/Made-With-ML
319,shadowsocks/shadowsocks-android
320,metabase/metabase
321,bumptech/glide
322,istio/istio
323,prisma/prisma
324,BVLC/caffe
325,SheetJS/sheetjs
326,zenorocha/clipboard.js
327,shadowsocks/shadowsocks
328,adobe/brackets
329,google/leveldb
