,Repo
0,kamranahmedse/developer-roadmap
1,labuladong/fucking-algorithm
2,justjavac/free-programming-books-zh_CN
3,521xueweihan/HelloGitHub
4,thedaviddias/Front-End-Checklist
5,Anduin2017/HowToCook
6,swisskyrepo/PayloadsAllTheThings
7,openai/whisper
8,DefinitelyTyped/DefinitelyTyped
9,x64dbg/x64dbg
10,ggerganov/llama.cpp
11,huginn/huginn
12,dypsilon/frontend-dev-bookmarks
13,isocpp/CppCoreGuidelines
14,apachecn/ailearning
15,jgraph/drawio
16,exacity/deeplearningbook-chinese
17,shadowsocks/shadowsocks
18,Blankj/AndroidUtilCode
19,bannedbook/fanqiang
20,fxsjy/jieba
21,babysor/MockingBird
22,halfrost/LeetCode-Go
23,tmux/tmux
24,IanLunn/Hover
25,sqlmapproject/sqlmap
26,CMU-Perceptual-Computing-Lab/openpose
27,trailofbits/algo
28,Ebazhanov/linkedin-skill-assessments-quizzes
29,veggiemonk/awesome-docker
30,facebook/folly
31,lovell/sharp
32,dwmkerr/hacker-laws
33,ShareX/ShareX
34,ascoders/weekly
35,powerline/fonts
36,scwang90/SmartRefreshLayout
37,lutzroeder/netron
38,MichaelCade/90DaysOfDevOps
39,alibaba/flutter-go
40,doocs/leetcode
41,deezer/spleeter
42,CodeHubApp/CodeHub
43,keon/algorithms
44,MostlyAdequate/mostly-adequate-guide
45,surrealdb/surrealdb
46,DrKLO/Telegram
47,Tencent/wepy
48,datawhalechina/pumpkin-book
49,libgdx/libgdx
50,google/iosched
51,changkun/modern-cpp-tutorial
52,SergioBenitez/Rocket
53,SwiftGGTeam/the-swift-programming-language-in-chinese
54,camsong/You-Dont-Need-jQuery
55,BradLarson/GPUImage
56,facebookarchive/pop
57,didi/DoKit
58,TeamStuQ/skill-map
59,CarGuo/GSYVideoPlayer
60,toml-lang/toml
61,SnapKit/Masonry
62,Tencent/ncnn
63,facebook/hhvm
64,dianping/cat
65,gentilkiwi/mimikatz
66,lin-xin/vue-manage-system
67,iperov/DeepFaceLive
68,youzan/vant-weapp
69,kovidgoyal/calibre
70,Olshansk/interview
71,instillai/TensorFlow-Course
72,easychen/howto-make-more-money
73,joke2k/faker
74,nodemailer/nodemailer
75,alievk/avatarify-python
76,medcl/elasticsearch-analysis-ik
77,keycloak/keycloak
78,rupa/z
79,lucidrains/vit-pytorch
80,designmodo/Flat-UI
81,OpenEmu/OpenEmu
82,cmusatyalab/openface
83,apple/ml-stable-diffusion
84,bcicen/ctop
85,github/docs
86,gztchan/awesome-design
87,angular-ui/bootstrap
88,CarGuo/gsy_github_app_flutter
89,alibaba/DataX
90,yiisoft/yii2
91,NVlabs/instant-ngp
92,Netflix/chaosmonkey
93,PerfectlySoft/Perfect
94,google/WebFundamentals
95,wangshub/wechat_jump_game
96,microsoft/Bringing-Old-Photos-Back-to-Life
97,getgrav/grav
98,ramitsurana/awesome-kubernetes
99,leandromoreira/digital_video_introduction
100,snail007/goproxy
101,eczarny/spectacle
102,skywind3000/kcp
103,rlabbe/Kalman-and-Bayesian-Filters-in-Python
104,TKkk-iOSer/WeChatPlugin-MacOS
105,TheAlgorithms/Go
106,Curzibn/Luban
107,tensorflow/tfjs-models
108,Azure/azure-quickstart-templates
109,jerryjliu/llama_index
110,rust-lang/book
111,Netflix/zuul
112,pandao/editor.md
113,vdumoulin/conv_arithmetic
114,chenshuo/muduo
115,surmon-china/vue-awesome-swiper
116,dotnet/runtime
117,yujiangshui/A-Programmers-Guide-to-English
118,sivel/speedtest-cli
119,apache/predictionio
120,sqshq/piggymetrics
121,codelucas/newspaper
122,gnab/remark
123,reactos/reactos
124,VerbalExpressions/JSVerbalExpressions
125,leemunroe/responsive-html-email-template
126,waditu/tushare
127,pjialin/py12306
128,rasbt/python-machine-learning-book
129,frida/frida
130,dotnet/AspNetCore.Docs
131,facebook/watchman
132,Miserlou/Zappa
133,postmanlabs/httpbin
134,jaredreich/pell
135,phobal/ivideo
136,davisking/dlib
137,idank/explainshell
138,donnemartin/awesome-aws
139,sqshq/sampler
140,kitao/pyxel
141,go-martini/martini
142,CodeSeven/toastr
143,Loyalsoldier/v2ray-rules-dat
144,star7th/showdoc
145,neutraltone/awesome-stock-resources
146,janishar/mit-deep-learning-book-pdf
147,scottjehl/Respond
148,Loyalsoldier/clash-rules
149,vim-syntastic/syntastic
150,Perfare/AssetStudio
151,Tim9Liu9/TimLiu-iOS
152,openresty/openresty
153,casey/just
154,jquery/jquery-ui
155,PrismJS/prism
156,Ramotion/animated-tab-bar
157,NVIDIA/FastPhotoStyle
158,overleaf/overleaf
159,chenyuntc/pytorch-book
160,H07000223/FlycoTabLayout
161,pxb1988/dex2jar
162,tuhdo/os01
163,yidao620c/python3-cookbook
164,rougier/numpy-100
165,gildas-lormeau/SingleFile
166,openalpr/openalpr
167,magento/magento2
168,jeasonlzy/okhttp-OkGo
169,reactide/reactide
170,rootsongjc/kubernetes-handbook
171,lipangit/JiaoZiVideoPlayer
172,WongKinYiu/yolov7
173,brannondorsey/wifi-cracking
174,glfw/glfw
175,PatrickJS/MFE-starter
176,WenchaoD/FSCalendar
177,chiphuyen/stanford-tensorflow-tutorials
178,asciimoo/wuzz
179,ttroy50/cmake-examples
180,serbanghita/Mobile-Detect
181,kefranabg/readme-md-generator
182,google/dopamine
183,Ramotion/folding-cell
184,tariqbuilds/linux-dash
185,JakeWharton/timber
186,lucidrains/DALLE2-pytorch
187,acaudwell/Gource
188,alcatraz/Alcatraz
189,wsdjeg/vim-galore-zh_cn
190,JamesNK/Newtonsoft.Json
191,xdissent/ievms
192,purifycss/purifycss
193,aFarkas/html5shiv
194,fogleman/Craft
195,kevinzhow/PNChart
196,fossasia/visdom
197,php-fig/container
198,HarlonWang/AVLoadingIndicatorView
199,sdelements/lets-chat
200,phpredis/phpredis
201,peachananr/onepage-scroll
202,amueller/word_cloud
203,zh-google-styleguide/zh-google-styleguide
204,facebookresearch/AnimatedDrawings
205,bilibili/DanmakuFlameMaster
206,umano/AndroidSlidingUpPanel
207,kanaka/mal
208,pockethub/PocketHub
209,facebookincubator/SocketRocket
210,adamwdraper/Numeral-js
211,apple/swift-package-manager
212,hackware1993/MagicIndicator
213,aksakalli/gtop
214,MonoGame/MonoGame
215,facebookresearch/maskrcnn-benchmark
216,benawad/dogehouse
217,navasmdc/MaterialDesignLibrary
218,mobz/elasticsearch-head
219,clojure/clojurescript
220,guillaumepotier/Parsley.js
221,cytoscape/cytoscape.js
222,danielgatis/rembg
223,marmelab/gremlins.js
224,scrapinghub/portia
225,leandromoreira/ffmpeg-libav-tutorial
226,prasmussen/gdrive
227,didi/VirtualAPK
228,tennc/webshell
229,openai/spinningup
230,aws/amazon-sagemaker-examples
231,github/semantic
232,mailpile/Mailpile
233,HubSpot/offline
234,carhartl/jquery-cookie
235,rs/zerolog
236,alyssaxuu/screenity
237,sloria/TextBlob
238,akveo/eva-icons
239,clips/pattern
240,junit-team/junit4
241,horst3180/arc-theme
242,onevcat/VVDocumenter-Xcode
243,chinchang/hint.css
244,shadowsocks/shadowsocks-iOS
245,google/re2
246,DeviaVir/zenbot
247,path/FastImageCache
248,felixrieseberg/macintosh.js
249,datawhalechina/leedl-tutorial
250,ideawu/ssdb
251,kylemanna/docker-openvpn
252,CreateJS/EaselJS
253,qiao/PathFinding.js
254,nopSolutions/nopCommerce
255,firebase/flutterfire
256,miniMAC/magic
257,barryclark/jekyll-now
258,symfony/thanks
259,mozilla/TTS
260,mailcheck/mailcheck
261,antirez/disque
262,lexrus/LTMorphingLabel
263,seemoo-lab/opendrop
264,facebook/proxygen
265,Yelp/elastalert
266,popcorn-official/popcorn-desktop
267,thinkgem/jeesite
268,Tencent/libco
269,cython/cython
270,thejsway/thejsway
271,chrisbanes/cheesesquare
272,plantuml/plantuml
273,thoughtbot/dotfiles
274,amsul/pickadate.js
275,seven332/EhViewer
276,fex-team/webuploader
277,smallnest/rpcx
278,daltoniam/Starscream
279,laravel/lumen
280,joemccann/dillinger
281,SonarSource/sonarqube
282,vladikoff/chromeos-apk
283,lltcggie/waifu2x-caffe
284,michaelvillar/dynamics.js
285,thx/rap2-delos
286,lukemelas/EfficientNet-PyTorch
287,aws/aws-sdk-js
288,attic-labs/noms
289,guzzle/promises
290,timqian/chart.xkcd
291,kamranahmedse/git-standup
292,dargullin/icheck
293,wmjordan/PDFPatcher
294,openai/universe
295,samratashok/nishang
296,stefan-jansen/machine-learning-for-trading
297,a1studmuffin/SpaceshipGenerator
298,andeya/pholcus
299,digininja/DVWA
300,digoal/blog
301,phar-io/manifest
302,Bearded-Hen/Android-Bootstrap
303,reactjs/react-modal
304,pedant/sweet-alert-dialog
305,PaperMC/Paper
306,orf/gping
307,priyankavergadia/google-cloud-4-words
308,lucidrains/PaLM-rlhf-pytorch
309,fchollet/deep-learning-models
310,umdjs/umd
311,google/agera
312,ApoorvSaxena/lozad.js
313,HubSpot/odometer
314,wuchangming/spy-debugger
315,lucidrains/imagen-pytorch
316,BlackrockDigital/startbootstrap
317,AGWA/git-crypt
318,NancyFx/Nancy
319,jverdi/JVFloatLabeledTextField
320,romaonthego/RESideMenu
321,simplezhli/flutter_deer
322,qgis/QGIS
323,ipkn/crow
324,bpmn-io/bpmn-js
325,lwouis/alt-tab-macos
326,bytedance/IconPark
327,bchavez/Bogus
328,patrickmn/go-cache
329,billryan/resume
330,AI4Finance-Foundation/FinRL
331,lua/lua
332,tonymillion/Reachability
333,matthew-andrews/isomorphic-fetch
334,li-xiaojun/XPopup
335,instillai/machine-learning-course
336,LeaVerou/awesomplete
337,sb2nov/mac-setup
338,datawhalechina/easy-rl
339,hamcrest/hamcrest-php
340,NodeOS/NodeOS
341,naman14/Timber
342,PeterL1n/RobustVideoMatting
343,Terry-Mao/goim
344,davatron5000/FitText.js
345,qinyuhang/ShadowsocksX-NG-R
346,mleibman/SlickGrid
347,schollz/howmanypeoplearearound
348,zetbaitsu/Compressor
349,openai/tiktoken
350,mamedev/mame
351,antimatter15/alpaca.cpp
352,antonioru/beautiful-react-hooks
353,seemoo-lab/openhaystack
354,erikflowers/weather-icons
355,wilsonpage/fastdom
356,tholman/elevator.js
357,briangonzalez/jquery.adaptive-backgrounds.js
358,NanoHttpd/nanohttpd
359,yeasy/blockchain_guide
360,microsoft/LoRA
361,CocoaPods/Specs
362,amoffat/sh
363,madrobby/keymaster
364,maxogden/menubar
365,dotnet/wpf
