,Repo
0,freeCodeCamp/freeCodeCamp
1,EbookFoundation/free-programming-books
2,sindresorhus/awesome
3,996icu/996.ICU
4,jwasham/coding-interview-university
5,donnemartin/system-design-primer
6,vinta/awesome-python
7,trekhleb/javascript-algorithms
8,getify/You-Dont-Know-JS
9,TheAlgorithms/Python
10,CyC2018/CS-Notes
11,ohmyzsh/ohmyzsh
12,torvalds/linux
13,github/gitignore
14,ossu/computer-science
15,jackfrued/Python-100-Days
16,jlevy/the-art-of-command-line
17,Snailclimb/JavaGuide
18,airbnb/javascript
19,golang/go
20,avelino/awesome-go
21,trimstray/the-book-of-secret-knowledge
22,yangshun/tech-interview-handbook
23,goldbergyoni/nodebestpractices
24,f/awesome-chatgpt-prompts
25,ryanmcdermott/clean-code-javascript
26,iluwatar/java-design-patterns
27,microsoft/Web-Dev-For-Beginners
28,papers-we-love/papers-we-love
29,gothinkster/realworld
30,ripienaar/free-for-dev
31,MisterBooo/LeetCodeAnimation
32,django/django
33,mtdvio/every-programmer-should-know
34,vuejs/awesome-vue
35,Hack-with-Github/Awesome-Hacking
36,florinpop17/app-ideas
37,GrowingGit/GitHub-Chinese-Top-Charts
38,resume/resume.github.com
39,kdn251/interviews
40,twitter/the-algorithm
41,josephmisiti/awesome-machine-learning
42,Developer-Y/cs-video-courses
43,angular/angular.js
44,xingshaocheng/architect-awesome
45,enaqx/awesome-react
46,h5bp/Front-end-Developer-Interview-Questions
47,leonardomso/33-js-concepts
48,bregman-arie/devops-exercises
49,MunGell/awesome-for-beginners
50,fighting41love/funNLP
51,python/cpython
52,chrislgarry/Apollo-11
53,TheAlgorithms/Java
54,microsoft/ML-For-Beginners
55,bradtraversy/design-resources-for-developers
56,sindresorhus/awesome-nodejs
57,sdmg15/Best-websites-a-programmer-should-visit
58,scutan90/DeepLearning-500-questions
59,necolas/normalize.css
60,prakhar1989/awesome-courses
61,openai/openai-cookbook
62,fffaraz/awesome-cpp
63,Solido/awesome-flutter
64,moment/moment
65,git/git
66,wasabeef/awesome-android-ui
67,NARKOZ/hacker-scripts
68,Alvin9999/new-pac
69,minimaxir/big-list-of-naughty-strings
70,square/okhttp
71,CorentinJ/Real-Time-Voice-Cloning
72,ziishaned/learn-regex
73,vsouza/awesome-ios
74,meteor/meteor
75,aymericdamien/TensorFlow-Examples
76,karan/Projects
77,facebookresearch/llama
78,astaxie/build-web-application-with-golang
79,tiimgreen/github-cheat-sheet
80,justjavac/awesome-wechat-weapp
81,square/retrofit
82,kamranahmedse/design-patterns-for-humans
83,youngyangyang04/leetcode-master
84,k88hudson/git-flight-rules
85,ngosang/trackerslist
86,bailicangdu/vue2-elm
87,nwjs/nw.js
88,jakevdp/PythonDataScienceHandbook
89,discourse/discourse
90,facebookresearch/segment-anything
91,dcloudio/uni-app
92,yangshun/front-end-interview-handbook
93,poteto/hiring-without-whiteboards
94,FFmpeg/FFmpeg
95,Asabeneh/30-Days-Of-JavaScript
96,faif/python-patterns
97,akullpp/awesome-java
98,alex/what-happens-when
99,brillout/awesome-react-components
100,apache/spark
101,FreeCodeCampChina/freecodecamp.cn
102,kelseyhightower/kubernetes-the-hard-way
103,ruanyf/weekly
104,floodsung/Deep-Learning-Papers-Reading-Roadmap
105,php/php-src
106,chubin/cheat.sh
107,microsoft/monaco-editor
108,google/styleguide
109,wg/wrk
110,eugenp/tutorials
111,dylanaraps/pure-bash-bible
112,nodejs/node-v0.x-archive
113,LeCoupa/awesome-cheatsheets
114,open-guides/og-aws
115,koajs/koa
116,microsoft/TaskMatrix
117,GokuMohandas/Made-With-ML
118,SheetJS/sheetjs
119,unknwon/the-way-to-go_ZH_CN
120,QSCTech/zju-icicles
121,gto76/python-cheatsheet
122,jondot/awesome-react-native
123,formulahendry/955.WLB
124,XingangPan/DragGAN
125,xitu/gold-miner
126,vim/vim
127,freeCodeCamp/devdocs
128,DovAmir/awesome-design-patterns
129,netty/netty
130,bilibili/ijkplayer
131,sudheerj/reactjs-interview-questions
132,Trinea/android-open-project
133,sorrycc/awesome-javascript
134,rapid7/metasploit-framework
135,blueimp/jQuery-File-Upload
136,bayandin/awesome-awesomeness
137,odoo/odoo
138,xkcoding/spring-boot-demo
139,bradtraversy/50projects50days
140,mqyqingfeng/Blog
141,joshbuchea/HEAD
142,alibaba/p3c
143,ReactiveX/rxjs
144,ityouknow/spring-boot-examples
145,ariya/phantomjs
146,amix/vimrc
147,mathiasbynens/dotfiles
148,lukehoban/es6features
149,ziadoz/awesome-php
150,airbnb/lottie-web
151,elsewhencode/project-guidelines
152,0xAX/linux-insides
153,aosabook/500lines
154,fengdu78/Coursera-ML-AndrewNg-Notes
155,alebcay/awesome-shell
156,shengxinjing/programmer-job-blacklist
157,pcottle/learnGitBranching
158,geekcomputers/Python
159,codepath/android_guides
160,jashkenas/backbone
161,kodecocodes/swift-algorithm-club
162,TheAlgorithms/JavaScript
163,donnemartin/interactive-coding-challenges
164,herrbischoff/awesome-macos-command-line
165,microsoft/calculator
166,cockroachdb/cockroach
167,yunjey/pytorch-tutorial
168,geekan/HowToLiveLonger
169,ZuzooVn/machine-learning-for-software-engineers
170,ryanhanwu/How-To-Ask-Questions-The-Smart-Way
171,Homebrew/legacy-homebrew
172,jashkenas/underscore
173,jobbole/awesome-python-cn
174,crossoverJie/JCSprout
175,realpython/python-guide
176,houshanren/hangzhou_house_knowledge
177,lukasz-madon/awesome-remote-job
178,geekcompany/ResumeSample
179,lenve/vhr
180,nvie/gitflow
181,docker/awesome-compose
182,facebookresearch/Detectron
183,apache/kafka
184,Asabeneh/30-Days-Of-Python
185,TheAlgorithms/C-Plus-Plus
186,jamiebuilds/the-super-tiny-compiler
187,CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers
188,AllThingsSmitty/css-protips
189,viraptor/reverse-interview
190,zsh-users/zsh-autosuggestions
191,donnemartin/data-science-ipython-notebooks
192,JakeWharton/butterknife
193,request/request
194,digitalocean/nginxconfig.io
195,DIYgod/RSSHub
196,GitbookIO/gitbook
197,ageron/handson-ml2
198,cfenollosa/os-tutorial
199,wesbos/JavaScript30
200,ageron/handson-ml
201,ggreer/the_silver_searcher
202,GorvGoyl/Clone-Wars
203,hollischuang/toBeTopJavaer
204,kilimchoi/engineering-blogs
205,mbeaudru/modern-js-cheatsheet
206,sindresorhus/awesome-electron
207,terryum/awesome-deep-learning-papers
208,eugeneyan/applied-ml
209,pjreddie/darknet
210,OWASP/CheatSheetSeries
211,1c7/chinese-independent-developer
212,spipm/Depix
213,karpathy/nanoGPT
214,zhiwehu/Python-programming-exercises
215,michalsnik/aos
216,saadeghi/daisyui
217,johnpapa/angular-styleguide
218,charlax/professional-programming
219,servo/servo
220,hammerjs/hammer.js
221,qianguyihao/Web
222,matteocrippa/awesome-swift
223,VundleVim/Vundle.vim
224,datasciencemasters/go
225,mbadolato/iTerm2-Color-Schemes
226,signalapp/Signal-Android
227,mongodb/mongo
228,gitlabhq/gitlabhq
229,inconshreveable/ngrok
230,kahun/awesome-sysadmin
231,expo/expo
232,rwaldron/idiomatic.js
233,SimplifyJobs/Summer2024-Internships
234,viatsko/awesome-vscode
235,nothings/stb
236,Igglybuff/awesome-piracy
237,github/copilot-docs
238,tmrts/go-patterns
239,hwdsl2/setup-ipsec-vpn
240,microsoft/Data-Science-For-Beginners
241,sdras/awesome-actions
242,fouber/blog
243,Asabeneh/30-Days-Of-React
244,eriklindernoren/ML-From-Scratch
245,markerikson/react-redux-links
246,ipfs/ipfs
247,goldbergyoni/javascript-testing-best-practices
248,chubin/wttr.in
249,wangzheng0822/algo
250,qbittorrent/qBittorrent
251,apache/flink
252,kdeldycke/awesome-falsehood
253,microsoft/JARVIS
254,microsoft/api-guidelines
255,trekhleb/homemade-machine-learning
256,jaredhanson/passport
257,jlmakes/scrollreveal
258,bevacqua/dragula
259,wsargent/docker-cheat-sheet
260,gfwlist/gfwlist
261,leereilly/games
262,ChristosChristofidis/awesome-deep-learning
263,tornadoweb/tornado
264,badges/shields
265,judasn/IntelliJ-IDEA-Tutorial
266,julycoding/The-Art-Of-Programming-By-July-2nd
267,ruanyf/es6tutorial
268,pytorch/examples
269,shieldfy/API-Security-Checklist
270,git-tips/tips
271,FallibleInc/security-guide-for-developers
272,norvig/pytudes
273,philc/vimium
274,shimohq/chinese-programmer-wrong-pronunciation
275,junyanz/pytorch-CycleGAN-and-pix2pix
276,kuchin/awesome-cto
277,drduh/macOS-Security-and-Privacy-Guide
278,futurice/android-best-practices
279,XIU2/TrackersListCollection
280,framer/motion
281,posquit0/Awesome-CV
282,alan2207/bulletproof-react
283,checkcheckzz/system-design-interview
284,n0shake/Public-APIs
285,mli/paper-reading
286,wesm/pydata-book
287,imDazui/Tvlist-awesome-m3u-m3u8
288,gpakosz/.tmux
289,openai/gpt-2
