,Repo
0,kamranahmedse/developer-roadmap
1,flutter/flutter
2,labuladong/fucking-algorithm
3,justjavac/free-programming-books-zh_CN
4,doocs/advanced-java
5,thedaviddias/Front-End-Checklist
6,kelseyhightower/nocode
7,lodash/lodash
8,Anduin2017/HowToCook
9,swisskyrepo/PayloadsAllTheThings
10,ageitgey/face_recognition
11,tldr-pages/tldr
12,DefinitelyTyped/DefinitelyTyped
13,iperov/DeepFaceLab
14,x64dbg/x64dbg
15,huginn/huginn
16,dypsilon/frontend-dev-bookmarks
17,isocpp/CppCoreGuidelines
18,apachecn/ailearning
19,satwikkansal/wtfpython
20,shadowsocks/shadowsocks
21,bannedbook/fanqiang
22,babysor/MockingBird
23,halfrost/LeetCode-Go
24,trailofbits/algo
25,nagadomi/waifu2x
26,Ebazhanov/linkedin-skill-assessments-quizzes
27,veggiemonk/awesome-docker
28,facebookresearch/fastText
29,dwmkerr/hacker-laws
30,geekan/MetaGPT
31,powerline/fonts
32,lutzroeder/netron
33,MichaelCade/90DaysOfDevOps
34,alibaba/flutter-go
35,matterport/Mask_RCNN
36,deezer/spleeter
37,CodeHubApp/CodeHub
38,keon/algorithms
39,MostlyAdequate/mostly-adequate-guide
40,sebastianruder/NLP-progress
41,google/iosched
42,mxgmn/WaveFunctionCollapse
43,bitcoinbook/bitcoinbook
44,chenglou/react-motion
45,ai/nanoid
46,changkun/modern-cpp-tutorial
47,SwiftGGTeam/the-swift-programming-language-in-chinese
48,SamyPesse/How-to-Make-a-Computer-Operating-System
49,camsong/You-Dont-Need-jQuery
50,BradLarson/GPUImage
51,verekia/js-stack-from-scratch
52,facebookarchive/pop
53,TeamStuQ/skill-map
54,chai2010/advanced-go-programming-book
55,ftlabs/fastclick
56,SnapKit/Masonry
57,copy/v86
58,fastai/fastbook
59,dianping/cat
60,you-dont-need/You-Dont-Need-Lodash-Underscore
61,facebookarchive/flux
62,nfl/react-helmet
63,Olshansk/interview
64,instillai/TensorFlow-Course
65,easychen/howto-make-more-money
66,rakyll/hey
67,microsoft/unilm
68,nodemailer/nodemailer
69,alievk/avatarify-python
70,rupa/z
71,julienschmidt/httprouter
72,brendangregg/FlameGraph
73,designmodo/Flat-UI
74,cmusatyalab/openface
75,twbs/ratchet
76,bvaughn/react-window
77,github/docs
78,gztchan/awesome-design
79,aws/aws-cli
80,ty4z2008/Qix
81,iCHAIT/awesome-macOS
82,edent/SuperTinyIcons
83,NVlabs/instant-ngp
84,Netflix/chaosmonkey
85,PerfectlySoft/Perfect
86,google/WebFundamentals
87,wangshub/wechat_jump_game
88,borisdayma/dalle-mini
89,microsoft/Bringing-Old-Photos-Back-to-Life
90,foreversd/forever
91,aleju/imgaug
92,leandromoreira/digital_video_introduction
93,eczarny/spectacle
94,skywind3000/kcp
95,rlabbe/Kalman-and-Bayesian-Filters-in-Python
96,http-party/node-http-proxy
97,TheAlgorithms/Go
98,strongloop/loopback
99,tensorflow/tfjs-models
100,Azure/azure-quickstart-templates
101,gollum/gollum
102,ardalis/CleanArchitecture
103,rust-lang/book
104,vdumoulin/conv_arithmetic
105,yujiangshui/A-Programmers-Guide-to-English
106,sparanoid/chinese-copywriting-guidelines
107,microsoft/ai-edu
108,apache/predictionio
109,sqshq/piggymetrics
110,codelucas/newspaper
111,gnab/remark
112,xiandanin/magnetW
113,leemunroe/responsive-html-email-template
114,erikras/react-redux-universal-hot-example
115,waditu/tushare
116,pjialin/py12306
117,rasbt/python-machine-learning-book
118,morhetz/gruvbox
119,postmanlabs/httpbin
120,idank/explainshell
121,fathyb/carbonyl
122,alexjc/neural-enhance
123,LightTable/LightTable
124,donnemartin/awesome-aws
125,facebookresearch/detr
126,SFTtech/openage
127,go-martini/martini
128,CodeSeven/toastr
129,ShiqiYu/libfacedetection
130,jasontaylordev/CleanArchitecture
131,neutraltone/awesome-stock-resources
132,janishar/mit-deep-learning-book-pdf
133,akveo/blur-admin
134,kmario23/deep-learning-drizzle
135,Tim9Liu9/TimLiu-iOS
136,jquery/jquery-ui
137,WebAssembly/design
138,javve/list.js
139,Ramotion/animated-tab-bar
140,NVIDIA/FastPhotoStyle
141,overleaf/overleaf
142,keen/dashboards
143,WickyNilliams/headroom.js
144,chenyuntc/pytorch-book
145,H07000223/FlycoTabLayout
146,jordansissel/fpm
147,tuhdo/os01
148,karpathy/convnetjs
149,rougier/numpy-100
150,reactide/reactide
151,WongKinYiu/yolov7
152,jantimon/html-webpack-plugin
153,brannondorsey/wifi-cracking
154,PatrickJS/MFE-starter
155,WenchaoD/FSCalendar
156,chiphuyen/stanford-tensorflow-tutorials
157,ttroy50/cmake-examples
158,serbanghita/Mobile-Detect
159,google/dopamine
160,Ramotion/folding-cell
161,tariqbuilds/linux-dash
162,JakeWharton/timber
163,wsdjeg/vim-galore-zh_cn
164,connors/photon
165,purifycss/purifycss
166,aFarkas/html5shiv
167,fogleman/Craft
168,alexjc/neural-doodle
169,tylertreat/comcast
170,kevinzhow/PNChart
171,bbfamily/abu
172,JakeWharton/RxBinding
173,HarlonWang/AVLoadingIndicatorView
174,sdelements/lets-chat
175,phpredis/phpredis
176,google-deepmind/sonnet
177,ytisf/theZoo
178,amueller/word_cloud
179,zh-google-styleguide/zh-google-styleguide
180,facebookresearch/AnimatedDrawings
181,kanaka/mal
182,pockethub/PocketHub
183,facebookincubator/SocketRocket
184,dotnet/BenchmarkDotNet
185,addyosmani/backbone-fundamentals
186,mrmrs/colors
