,Num days
EsotericSoftware/kryo,112.28456877240143
mochajs/mocha,31.356400308641977
ianstormtaylor/slate,17.7354516234985
juanfont/headscale,9.057536231884058
BVLC/caffe,98.72552973646725
nteract/nteract,26.631455128205133
casey/just,27.759157245908696
django-extensions/django-extensions,143.76867476851854
benhmoore/Knwl,9.051041666666666
leongersen/noUiSlider,44.39465104166667
sockeqwe/mosby,96.67640294312169
cryptomator/cryptomator,20.10269733796296
microsoft/winget-cli,22.544030092592592
sqshq/piggymetrics,12.170057870370371
realm/realm-swift,11.538001557713729
HelloZeroNet/ZeroNet,64.13283675044092
newren/git-filter-repo,98.63321443602693
dicebear/dicebear,103.21859375000001
ArthurHub/Android-Image-Cropper,43.63875634707288
StockSharp/StockSharp,37.891531320861674
eduardolundgren/tracking.js,255.72719212962963
libretro/RetroArch,41.627053594393004
apple/swift,54.77602888695987
phw/peek,60.240549074074075
Netflix/metaflow,14.654356794945988
petkaantonov/bluebird,17.591881451123253
obsproject/obs-studio,18.334936992473757
wekan/wekan,6.931350225970018
guardicore/monkey,112.10507073045268
insidegui/WWDC,32.998939686213994
apache/jmeter,164.40528604497356
Ralim/IronOS,47.20107510288066
gruns/icecream,254.68509259259258
sampotts/plyr,32.96775143678161
tabulapdf/tabula,95.6719474902534
jonas/tig,145.25835819615912
google-deepmind/lab,208.95208002645504
locomotivemtl/locomotive-scroll,137.27712239583335
emilk/egui,101.29993923611111
dandavison/delta,26.257693758573385
ruby/ruby,18.013941798941797
mikefarah/yq,21.785177584300715
rxhanson/Rectangle,20.4961536001462
go-pg/pg,126.56416956018518
Netflix/eureka,22.95192724188229
robertkrimen/otto,18.084189814814817
react-boilerplate/react-boilerplate,83.09224691358025
scottbez1/smartknob,40.681135912698416
nadbm/react-datasheet,188.78189814814814
ReactiveCocoa/ReactiveCocoa,36.44643984304427
louthy/language-ext,39.180101908310746
prolificinteractive/material-calendarview,65.27187444885361
apache/seatunnel,48.808258652998234
mojs/mojs,115.21104466735254
hubotio/hubot,120.38701836917562
mikf/gallery-dl,20.35805107263954
flike/kingshard,288.9326658950617
bulletphysics/bullet3,245.1183275462963
FredrikNoren/ungit,57.050732542438276
commitizen/cz-cli,38.550429826230335
curlconverter/curlconverter,34.95718140838206
Nevcairiel/LAVFilters,119.27290013227513
linnovate/mean,80.27837428774929
Wilfred/difftastic,17.06672634548611
twitter/twemproxy,751.9754166666667
akveo/ngx-admin,100.64552423747277
